date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:47	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f777b31-239b%22	https://yairhasfari.github.io/robots.txt		(from )
20:58:47	16325/16325	---M-Z	200	added ('OK')	text/html	etag:W/%226222485a-3fc5%22	https://yairhasfari.github.io/wordale/	D:/Downloads/wordale/yairhasfari.github.io/wordale/index.html	(from )
20:58:47	162122/162122	---M--	200	added ('OK')	image/png	etag:%226222485a-2794a%22	https://yairhasfari.github.io/wordale/wordale-favicon-new.png	D:/Downloads/wordale/yairhasfari.github.io/wordale/wordale-favicon-new.png	(from https://yairhasfari.github.io/wordale/)
20:58:48	1714/1714	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226222485a-6b2%22	https://yairhasfari.github.io/wordale/question-mark.svg	D:/Downloads/wordale/yairhasfari.github.io/wordale/question-mark.svg	(from https://yairhasfari.github.io/wordale/)
20:58:48	4388/4388	---M--	200	added ('OK')	image/png	etag:%226222485a-1124%22	https://yairhasfari.github.io/wordale/green.png	D:/Downloads/wordale/yairhasfari.github.io/wordale/green.png	(from https://yairhasfari.github.io/wordale/)
20:58:48	4240/4240	---M--	200	added ('OK')	image/png	etag:%226222485a-1090%22	https://yairhasfari.github.io/wordale/yellow.png	D:/Downloads/wordale/yairhasfari.github.io/wordale/yellow.png	(from https://yairhasfari.github.io/wordale/)
20:58:48	3932/3932	---M--	200	added ('OK')	image/png	etag:%226222485a-f5c%22	https://yairhasfari.github.io/wordale/grey.png	D:/Downloads/wordale/yairhasfari.github.io/wordale/grey.png	(from https://yairhasfari.github.io/wordale/)
20:58:48	1035/1035	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226222485a-40b%22	https://yairhasfari.github.io/wordale/backspace-erase.svg	D:/Downloads/wordale/yairhasfari.github.io/wordale/backspace-erase.svg	(from https://yairhasfari.github.io/wordale/)
20:58:49	687898/687898	---M-Z	200	added ('OK')	application/javascript	etag:W/%226222485a-a7f1a%22	https://yairhasfari.github.io/wordale/hebwords.js	D:/Downloads/wordale/yairhasfari.github.io/wordale/hebwords.js	(from https://yairhasfari.github.io/wordale/)
20:58:49	2308/2308	---M-Z	200	added ('OK')	application/javascript	etag:W/%226222485a-904%22	https://yairhasfari.github.io/wordale/wordlist.js	D:/Downloads/wordale/yairhasfari.github.io/wordale/wordlist.js	(from https://yairhasfari.github.io/wordale/)
20:58:49	21295/21295	---M-Z	200	added ('OK')	application/javascript	etag:W/%226222485a-532f%22	https://yairhasfari.github.io/wordale/main.js	D:/Downloads/wordale/yairhasfari.github.io/wordale/main.js	(from https://yairhasfari.github.io/wordale/)
